"claim_id","system","section","claim_zh","claim_en","statement","scope","derivation_ref","script_ref","numeric_value","residual","evidence_level","status","last_checked"
"S02-011","S02","§13","τ 不是真空电磁独立自旋自由度","τ is not an independent spin DOF in vacuum EM","真空电磁场中不存在「偏振基矢沿传播方向旋转」的自由度；τ（世界线挠率）不能作为真空电磁场的独立自旋可观测量","真空自由场","§15 no-go 定理","01_独立体系/S02_空间光速螺旋统一力/11_证伪与反例/光速螺旋重构_τ分支物理性冲突记录.md","q=0 唯一解","0（定理）","mathematical_result","falsified","2026-09-25"
"S02-012","S02","§16","共振条件解析判据","Resonance condition κ²+τ²=k²","涡旋光与常κ,τ螺旋世界线的相干共振条件为 √(κ²+τ²)=k（粒子 Darboux 进动频率匹配载波频率）且 l+s_z≠0；失谐时平均耦合抵消","S02 §16 场-几何耦合","§16.8 共振判据推导","01_独立体系/S02_空间光速螺旋统一力/04_理论推导/oam_tuft_couple_audit.py","κ²+τ²=k², l+s_z≠0","0（代数恒等式）","mathematical_result","verified","2026-09-25"
"UFE-001","UFE-1","L1","中微子质量修复","Neutrino mass repair","加入 3 个右手中微子 ν_R（SU(3)×SU(2) 单态、Y=0）后 m_ν=y_νv/√2≈0.05eV=√|Δm²₃₁|，y_ν≈2.9e-13，参数 19→26","UFE-1 场内容","L1 修复（2026-09-19）","07_统一场方程/验证脚本/verify_ufe1_claims.py","m_ν=0.0500eV, y_ν=2.872e-13","0.1%","numerical_check","verified","2026-09-25"
"UFE-002","UFE-1","L2","α 不可推导","α not derivable","精细结构常数 α 的数值无法由 UFE-1 推导：量纲代数路线（定理 C）、初等几何作用量路线（定理 H）在原理上不可行；算子谱路线（定理 F/G）条件可行但需 O(α²) 近消去微调","UFE-1 全理论","定理 C/D/F/G/H 不可行性定理链","07_统一场方程/验证脚本/verify_ufe1_claims.py","1/α=137.035999084（输入）","0（定理）","mathematical_result","verified","2026-09-25"
"UFE-003","UFE-1","L10","SM 耦合不统一","SM couplings do not unify","标准模型三条规范耦合单环跑动永不相交：最小散布 3.66 @ ~10¹⁴ GeV（二阈方程行列式=0）","UFE-1 v1（无新物理）","L10 独立复算","07_统一场方程/验证脚本/verify_ufe1_claims.py","散布 3.652 @ 2.4e14 GeV","0.05 内","numerical_check","verified","2026-09-25"
"UFE-004","UFE-1","L10","非SUSY Δb 规格表原数值不自洽","Original non-SUSY Δb table inconsistent","文档 Δb 表 (5.47,0,-4.03)/(5.15,0,-4.07)/(3.48,0,-4.25) 回代后三线不交于 α_GUT⁻¹（如 10.81/46.23/64.91）；修正表 (5.47,7.27,7.07)/(5.15,7.27,7.04)/(3.47,7.27,6.85) 三线重合","L10 非 SUSY 统一规格","独立复算 + 回代自检","07_统一场方程/验证脚本/verify_ufe1_claims.py","修正 Δb₂=+7.27, Δb₃=+7.07","<0.01（回代）","numerical_check","falsified","2026-09-25"
"UFE-005","UFE-1","L10","非SUSY 手征场统一解","Non-SUSY chiral unification solution","SM + 手征新场 {(1,1,±1/2)×1,(1,1,±1)×2,(3,2,±1/6)×2} 单环统一：散布 0.060 @ 5.36e14 GeV（α₁⁻¹,α₂⁻¹,α₃⁻¹)=(35.00,35.04,34.98)","L10 非 SUSY 统一","手征多重态枚举（ufe1_round2）","07_统一场方程/验证脚本/ufe1_round2.py","散布 0.0597 @ 5.36e14 GeV","0.06","numerical_check","verified","2026-09-25"
"UFE-006","UFE-1","L10","矢量费米子对统一盲","Vector fermion family blind to unification","整代矢量费米子 Δb=(2.70,2.67,4.00) 只整体平移三条跑动曲线（两两斜率不变），散布保持 3.675，不能实现非 SUSY 统一（结构 no-go）","L10 统一机制","标准 T(R) 计算 + 数值散布","07_统一场方程/验证脚本/verify_ufe1_claims.py","散布 3.675（加矢量代）","<0.01","numerical_check","verified","2026-09-25"
"UFE-007","UFE-1","L10","MSSM 单阈统一散布 0.049","MSSM one-threshold spread 0.049","MSSM 单阈统一散布 0.049 @ ~2e16 GeV（复算 0.049–0.122，输入敏感）；统一标度 ~2×10¹⁶ GeV","L10 超对称对照","单环 RGE","07_统一场方程/验证脚本/verify_ufe1_claims.py","散布 0.049 @ 2e16 GeV","输入敏感 0.02–0.12","numerical_check","verified","2026-09-25"
"B-001","S02","ch03","洛伦兹变换保持闵氏范数与因果序","Lorentz transforms preserve Minkowski norm and causal order","O(1,3) 变换保持闵氏范数 ΛᵀηΛ=η；SO⁺(1,3) 保持类时/类光事件的因果先后序（快度加性、γ 精确）","闵氏时空、惯性系","ch03 §3.1–3.3 求导证明","书籍/01_卷I_基础理论/verify_minkowski.py","ΛᵀηΛ=η；γ=5/3@0.8c","9.4e-15","mathematical_result+numerical_check","verified","2026-09-25"
"B-002","S02","ch03","平移对称 ⟹ 能动张量守恒（Noether）","Translational symmetry implies ∂_μT^μν=0","正则能动张量 Θ^μ_ν=(∂L/∂(∂_μφ))∂_νφ−δ^μ_ν L 在平移对称下守恒，∂_μΘ^μ_ν=0（自由 KG 场数值验证）；背景显式破缺平移对称时守恒破坏（§15 机制）","作用量框架、自由场","ch03 §3.6 Noether 构造","书籍/01_卷I_基础理论/verify_minkowski.py","∂_μΘ^μ_ν=0","9.6e-5（限差分截断 h²）","mathematical_result+numerical_check","verified","2026-09-25"
"B-003","S02","ch03","快度可加速度不可加","Rapidity additive, velocity not","快度 φ 满足 Λ(φ₁)Λ(φ₂)=Λ(φ₁+φ₂)；速度合成 v=(v₁+v₂)/(1+v₁v₂/c²)；质量壳 E²=p²c²+m²c⁴ 精确","狭义相对论运动学","ch03 §3.2/§3.5","书籍/01_卷I_基础理论/verify_minkowski.py","E²−p²c²=m²c⁴","4.4e-16","mathematical_result","verified","2026-09-25"
"B-004","S02","ch04","规范不变性","Gauge invariance of F_μν","A_μ→A_μ+∂_μχ（φ→φ−∂_tχ, A→A+∇χ）使 F_μν 完全不变，E,B 逐点不变","经典电磁、四势","ch04 §4.1 命题 4.2","书籍/01_卷I_基础理论/verify_em_field.py","F'=F","2.2e-16","mathematical_result+numerical_check","verified","2026-09-25"
"B-005","S02","ch04","Bianchi 恒等式恒成立","Bianchi identity automatic","F_μν=∂_μA_ν−∂_νA_μ 自动满足 ∂_μF_νρ+∂_νF_ρμ+∂_ρF_μν=0（∇·B=0 与 Faraday），对任意 C² 四势成立","四势构造","ch04 §4.1 命题 4.1","书籍/01_卷I_基础理论/verify_em_field.py","∇·B=0, Faraday","0（代数恒等）","mathematical_result","verified","2026-09-25"
"B-006","S02","ch04","推迟势满足波动方程且因果","Retarded potential solves wave equation, causal","Box G=δ⁽⁴⁾ 的推迟解 G=θ(t)δ(t−|x|/c)/(4π|x|)；A^μ=μ₀∫GJ 在无源区满足 Box A^μ=0；t_r=t−|x−x'|/c 保证因果上限 c","波动方程、格林函数","ch04 §4.2 命题 4.4","书籍/01_卷I_基础理论/verify_em_field.py","Box A^μ=0（无源）","2.8e-8（差分）","mathematical_result+numerical_check","verified","2026-09-25"
"B-007","S02","ch04","真空 EM 能动张量守恒","Vacuum EM stress tensor conserved","真空 Maxwell 下 ∂_μT^μν=0：∂_t u+∇·S=0（Poynting）与动量守恒；圆偏振能流纯轴向 |S_⊥|/|S|=0、|S|/u=c（衔接 S02-001）","真空自由场","ch04 §4.4 命题 4.6","书籍/01_卷I_基础理论/verify_em_field.py","∂_t u+∇·S=0","0（解析）；差分 1e-5 内","mathematical_result+numerical_check","verified","2026-09-25"
"B-008","S02","ch05","角动量对易代数由旋转群结构唯一决定","Angular momentum algebra from rotation group","旋转酉表示 ⟹ [J_i,J_j]=iħε_ijk J_k（经典 [M_x,M_y]=M_z 与自旋 [σ_i/2,σ_j/2]=iε_ijk σ_k/2 双重数值复现）","旋转群表示论","ch05 §5.1 命题 5.1","书籍/01_卷I_基础理论/verify_spin.py","[J_i,J_j]=iħε_ijk J_k","0（代数恒等）","mathematical_result","verified","2026-09-25"
"B-009","S02","ch05","泡利恒等式与自旋 1/2 谱","Pauli identities and spin-1/2 spectrum","(σ·a)(σ·b)=(a·b)+iσ·(a×b)；σ_iσ_j=δ_ij+iε_ijk σ_k；σ·n 本征值恰为 {+1,−1}（Stern–Gerlach 代数根源）","SU(2) 表示、泡利代数","ch05 §5.2 命题 5.2","书籍/01_卷I_基础理论/verify_spin.py","σ·n 谱 {+1,−1}","2.2e-16","mathematical_result+numerical_check","verified","2026-09-25"
"B-010","S02","ch05","SU(2)→SO(3) 二重覆盖与 2π 相位","SU(2)→SO(3) double cover, U(2π)=−1","e^(−iθσ·n/2)=cos(θ/2)−i sin(θ/2)σ·n；U(2π)=−1 而 R(2π)=1，覆盖度 2:1（π₁(SO(3))=Z₂）；自旋 1/2 在 2π 旋转下取 −1 相位","自旋表示","ch05 §5.3 命题 5.3–5.4","书籍/01_卷I_基础理论/verify_spin.py","U(2π)=−1, U(4π)=+1","2.4e-16","mathematical_result+numerical_check","verified","2026-09-25"
"B-011","S02","ch06","su(2)/su(3) 结构常数与雅可比恒等式","Structure constants and Jacobi identity","盖尔曼矩阵生成元的结构常数 f^abc=−(i/4)tr([λ^a,λ^b]λ^c) 全反对称且满足雅可比恒等式；su(2) f^abc=ε_abc","李代数一致性","ch06 §6.1–6.2","书籍/01_卷I_基础理论/verify_gauge_groups.py","雅可比=0","0（代数恒等）","mathematical_result+numerical_check","verified","2026-09-25"
"B-012","S02","ch06","SU(3) 表示张量积分解","SU(3) tensor product decompositions","3⊗3̄=1⊕8（9=1+8）；3⊗3⊗3=1⊕8⊕8⊕10（27=27）；Weyl 维数公式逐项核对","表示论","ch06 §6.3 命题 6.3","书籍/01_卷I_基础理论/verify_gauge_groups.py","9=1+8; 27=1+8+8+10","0（恒等式）","mathematical_result","verified","2026-09-25"
"B-013","S02","ch06","SM 逐代消反常且 ν_R 对反常严格中性","SM anomaly-free per generation; ν_R neutral","左旋 Weyl 基下（右手场以电荷共轭计入：色 3̄、超荷反号）标准模型逐代满足六类反常条件 SU(3)³=SU(2)³=U(1)³=SU(3)²U(1)=SU(2)²U(1)=grav²U(1)=0；3×ν_R（(1,1,0) 单态）对每类贡献恒为零，其作用是 seesaw 质量与跑动修正（L1/L10）而非消反常","规范反常、UFE-1 费米子内容","ch06 §6.4 命题 6.4（勘误：早期『ν_R 为消反常所必需』不成立）","书籍/01_卷I_基础理论/verify_gauge_groups.py","六类系数全 0","0（精确分数）","mathematical_result+numerical_check","verified","2026-09-25"
"B-014","S02","ch06","电荷量子化 Q=T³+Y","Charge quantization Q=T³+Y","对 (3,2,1/6) 等 UFE-1 表示，Q=T³+Y 给出电荷谱 +2/3,−1/3,0,−1 等精确值","标准模型超荷赋值","ch06 §6.4/§6.6","书籍/01_卷I_基础理论/verify_gauge_groups.py","Q=T³+Y 电荷谱","5.6e-17","numerical_check","verified","2026-09-25"
