来源名,类型,来料区,分箱,文件数,大小,状态,归属线索 / 不写入理由
GAQ-UFT 万物几何统一场论 核心方程组白皮书 (1).md,文件,md,02_GAQ与GMUFT几何统一场,1,17.01 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ_UFT_100组公式_全维分析修正版.md,文件,md,02_GAQ与GMUFT几何统一场,1,12.55 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ_UFT_G与ε₀最本源关系.md,文件,md,02_GAQ与GMUFT几何统一场,1,15.38 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ_UFT_V∞,目录,zip/解压内容,02_GAQ与GMUFT几何统一场,5,121.40 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ_UFT_核力理论_全维第一性原理.md,文件,md,02_GAQ与GMUFT几何统一场,1,13.13 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GAQ_UFT_核力理论全维总结.md,文件,md,02_GAQ与GMUFT几何统一场,1,9.75 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GMUFT v4.0 全维统一场论完整包（ZIP下载）,目录,zip/解压内容,02_GAQ与GMUFT几何统一场,4,76.17 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
GUFT全域几何统一场论v1.0完整包(ZIP),目录,zip/解压内容,02_GAQ与GMUFT几何统一场,13,503.62 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
几何流形统一场论GMUFT完整项目包,目录,zip/解压内容,02_GAQ与GMUFT几何统一场,5,119.09 KB,已写入（copy）,待归属（线索：与 S03/S07/S08/S09 GAQ 系列及几何流形路线同名）
Doubao-挂谷猜想与光速螺旋密度分布的关联-2026-08-06.md,文件,md,03_螺旋与曲率挠率体系,1,549.00 B,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
Gε0推导分析与修复报告.md,文件,md,03_螺旋与曲率挠率体系,1,8.62 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
LSSUFT光速螺旋全域统一场论v2.0完整包(ZIP),目录,zip/解压内容,03_螺旋与曲率挠率体系,10,471.71 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
S02 证伪记录（负面结论归档）.md,文件,md,03_螺旋与曲率挠率体系,1,3.54 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
miaoda-code-《全域双形变螺旋统一场论·元数据全量终版》.md,文件,md,03_螺旋与曲率挠率体系,1,29.17 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
miaoda-code-《全域双形变螺旋统一场论》完整专著.md,文件,md,03_螺旋与曲率挠率体系,1,30.46 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
miaoda-code-全域双形变螺旋统一场论_终版.md.md,文件,md,03_螺旋与曲率挠率体系,1,34.55 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
momentum_darboux.py,文件,md,03_螺旋与曲率挠率体系,1,3.82 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
κ²+τ²=(ω_c)² 恒等式与本征速度的全维度动力学求导证明与精算分析 (1).md,文件,md,03_螺旋与曲率挠率体系,1,9.71 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
κ²+τ²=(ω_c)² 恒等式与本征速度的全维度动力学求导证明与精算分析 (2).md,文件,md,03_螺旋与曲率挠率体系,1,12.87 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
《全域螺旋统一场》完整版压缩包（120万字）,目录,zip/解压内容,03_螺旋与曲率挠率体系,44,1.43 MB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
《全域螺旋统一场：核心方程与全维算法手册》完整版,目录,zip/解压内容,03_螺旋与曲率挠率体系,12,167.99 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空全域统一场论：曲率-挠率-波动全维求导、精算验证与物理终极统一 (1).md,文件,md,03_螺旋与曲率挠率体系,1,11.46 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空全域统一场论：曲率-挠率-波动全维求导、精算验证与物理终极统一 (2).md,文件,md,03_螺旋与曲率挠率体系,1,22.41 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空全域统一场论：曲率-挠率-波动全维求导、精算验证与物理终极统一 (3).md,文件,md,03_螺旋与曲率挠率体系,1,29.81 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空几何统一场论：基于第一性原理的超宇宙四力终极统一体系.md,文件,md,03_螺旋与曲率挠率体系,1,20.57 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空曲率挠率拓扑统一场论——四大力全域闭环求导、精算验证与第一性原理完备证明.md,文件,md,03_螺旋与曲率挠率体系,1,15.46 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空统一场论：全文总结+全维度理论分析+Python精算验证报告 (1).md,文件,md,03_螺旋与曲率挠率体系,1,10.16 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
光速螺旋时空统一场论：全文总结+全维度理论分析+Python精算验证报告.md,文件,md,03_螺旋与曲率挠率体系,1,8.74 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
全域统一场论求导闭环方程组——空间光速螺旋曲率挠率四力统一场论.md,文件,md,03_螺旋与曲率挠率体系,1,12.97 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
全域螺旋统一场论｜130条公式全覆盖 Python float128 终极精算验证脚本.md,文件,md,03_螺旋与曲率挠率体系,1,10.73 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
全维度精算验证报告.md（250位mpmath数值验证）.md,文件,md,03_螺旋与曲率挠率体系,1,9.04 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
基于第一性原理的引电曲率耦合恒等式：完整求导、量纲核验与高精度精算分析.md,文件,md,03_螺旋与曲率挠率体系,1,10.66 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
大白话讲透：挠率为什么是短程偏移的求导结果（验证+精算分析） (1).md,文件,md,03_螺旋与曲率挠率体系,1,11.65 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
大白话讲透：挠率为什么是短程偏移的求导结果（验证+精算分析）.md,文件,md,03_螺旋与曲率挠率体系,1,11.70 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
大白话通俗版：光速螺旋时空 曲率&挠率 全网最易懂验证解读 (1).md,文件,md,03_螺旋与曲率挠率体系,1,7.49 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
大白话通俗版：光速螺旋时空 曲率&挠率 全网最易懂验证解读.md,文件,md,03_螺旋与曲率挠率体系,1,5.07 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
强哥德巴赫猜想完整解析证明——全维度精算、缺陷修复、严格归谬闭环论文.md,文件,md,03_螺旋与曲率挠率体系,1,9.40 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
曲率挠率与ω_c全维统一体系（1_2_3维全域推导、精算验证、层级物理意义） (1).md,文件,md,03_螺旋与曲率挠率体系,1,27.52 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
曲率挠率与ω_c全维统一体系（1_2_3维全域推导、精算验证、层级物理意义）.md,文件,md,03_螺旋与曲率挠率体系,1,26.88 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
曲率挠率与ω_c全维统一体系｜全维度修复、悖论根除、物理自洽终版（论文定稿）.md,文件,md,03_螺旋与曲率挠率体系,1,10.91 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
空间光速螺旋模型_正确表达式汇编.md,文件,md,03_螺旋与曲率挠率体系,1,6.47 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
空间光速螺旋统一场论（完整理论+10项数值验证+ZIP包）,目录,zip/解压内容,03_螺旋与曲率挠率体系,3,59.36 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
算法联盟最高权限｜全域螺旋统一场论 130条终极自洽核心方程组（精算验证终版）.md,文件,md,03_螺旋与曲率挠率体系,1,14.45 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
统一场论总结_旗舰精读摘要.md,文件,md,03_螺旋与曲率挠率体系,1,52.66 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
统一场论最简求导版：正确闭环方程组（精算修复终版） (1).md,文件,md,03_螺旋与曲率挠率体系,1,3.06 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
统一场论最简求导版：正确闭环方程组（精算修复终版）.md,文件,md,03_螺旋与曲率挠率体系,1,4.62 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
统一场论正确终版_系统化总结.md,文件,md,03_螺旋与曲率挠率体系,1,35.56 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
螺旋+平动复合速度：求导推导、精算验证与极限分析.md,文件,md,03_螺旋与曲率挠率体系,1,6.35 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著） (1).md,文件,md,03_螺旋与曲率挠率体系,1,71.80 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
超宇宙全维度统一场论大典｜全域Frenet-Serret螺旋几何终极物理体系（千万字科研级巨著）.md,文件,md,03_螺旋与曲率挠率体系,1,13.60 KB,已写入（copy）,待归属（线索：与 S01 螺旋三重奏 / S02 空间光速螺旋统一力 主题域相邻）
TUFT拓扑统一场论_完整版.md（单文件完整版，约12万字）.md,文件,md,04_TUFT拓扑统一场论,1,202.57 KB,已写入（copy）,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT拓扑统一场论_完整版.zip（含18章+3附录+全部Python代码+仿真图，约32万字）,目录,zip/解压内容,04_TUFT拓扑统一场论,28,911.73 KB,已写入（copy）,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
oam_tuft_couple_audit.py,文件,md,04_TUFT拓扑统一场论,1,3.56 KB,已写入（copy）,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
Goldbach_EHmu_2026-09-11,目录,zip/解压内容,05_数论_哥德巴赫与孪生素数,5,996.18 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
同行评审应答终稿 + 孪生素数猜想迁移证明全稿.md,文件,md,05_数论_哥德巴赫与孪生素数,1,8.29 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
哥德巴赫_EHmu_复核与推导_2026-09-11.md,文件,md,05_数论_哥德巴赫与孪生素数,1,13.69 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
哥德巴赫_十二项证明清单与逐项推导_2026-09-12.md,文件,md,05_数论_哥德巴赫与孪生素数,1,19.93 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
哥德巴赫_第九项续证_结构引理与例外集_2026-09-12.md,文件,md,05_数论_哥德巴赫与孪生素数,1,12.20 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
哥德巴赫猜想超大规模验证与深度分析包,目录,zip/解压内容,05_数论_哥德巴赫与孪生素数,4,41.34 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
套娃分形筛理论与哥德巴赫猜想完整论文包,目录,zip/解压内容,05_数论_哥德巴赫与孪生素数,4,40.31 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
如何识别解析数论证明中的循环论证.md,文件,md,05_数论_哥德巴赫与孪生素数,1,17.05 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
孪生素数&统一空隙大筛体系｜全核心公式 + 四大跨学科全域溢出理论终稿.md,文件,md,05_数论_哥德巴赫与孪生素数,1,9.11 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
孪生素数猜想证明｜Python 数值验证脚本（理论阶次核验）.md,文件,md,05_数论_哥德巴赫与孪生素数,1,4.93 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
孪生素数猜想｜完整严格解析证明（无跳跃、纯解析、终稿闭环）.md,文件,md,05_数论_哥德巴赫与孪生素数,1,6.60 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
算法联盟·权威核验｜孪生素数证明全部致命漏洞修复终稿（完全自洽、无悖论、数值匹配、大筛方向正确）.md,文件,md,05_数论_哥德巴赫与孪生素数,1,6.15 KB,已写入（copy）,待归属（线索：**与统一场论不同主题域**：解析数论证明稿。线索：仓库内暂无对应体系，若立项应走 01_独立体系/新体系模板）
Doubao-《全域数学 vs 传统数学：人类文明进阶 200 讲》第 80 讲-2026-07-13.md,文件,md,06_全域数学与知识生成体系,1,23.04 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
《全域数学vs传统数学：人类文明进阶200讲》第78讲.md,文件,md,06_全域数学与知识生成体系,1,6.29 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
《宇宙光子统一场终极解密：精细结构常数本源与全域粒子输运终极理论》.md,文件,md,06_全域数学与知识生成体系,1,12.09 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全域双向分形统一场论_完整交付包.zip（书籍+报告+代码+数据）,目录,zip/解压内容,06_全域数学与知识生成体系,4,167.38 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全域双向分形统一场论_完整版.md（14卷82章完整书籍）.md,文件,md,06_全域数学与知识生成体系,1,141.10 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全域数学vs传统数学：人类文明进阶200讲（第79讲）.md,文件,md,06_全域数学与知识生成体系,1,6.37 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全域统一场论-量纲缺陷与循环验证问题 全维度修正总结报告.md,文件,md,06_全域数学与知识生成体系,1,6.12 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全宇宙维度·百阶第一性原创方程组体系（真空涡旋全域统一场论｜算法联盟最高权限终审）.md,文件,md,06_全域数学与知识生成体系,1,22.52 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全宇宙超维终极150阶方程组体系｜真空涡旋全域统一场论（算法联盟最高权限·终极破界版）.md,文件,md,06_全域数学与知识生成体系,1,15.10 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全维分形知识自动演化引擎 v0.2.0 超宇宙级（Rust高性能版）,目录,zip/解压内容,06_全域数学与知识生成体系,1,22.42 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全维分形知识自动演化引擎 v1.0.0 10亿行代码级工业全栈版,目录,zip/解压内容,06_全域数学与知识生成体系,1,28.00 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全维分形知识自动演化引擎（Rust高性能版）,目录,zip/解压内容,06_全域数学与知识生成体系,7,32.63 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
全维宇宙归一化统一场论,目录,zip/解压内容,06_全域数学与知识生成体系,30,826.24 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
分形宇宙知识星河系统完整压缩包,目录,zip/解压内容,06_全域数学与知识生成体系,2,51.75 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
完整理论文档（10卷+附录，Markdown）.md,文件,md,06_全域数学与知识生成体系,1,47.52 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
数据附录_完整版.md（10卷8580条数值计算数据）.md,文件,md,06_全域数学与知识生成体系,1,143.14 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
算法联盟·全域拼合验证工程,目录,zip/解压内容,06_全域数学与知识生成体系,4,47.32 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
自动公式生成器·无限知识智能生成系统 v1.0.0 完整源码包,目录,zip/解压内容,06_全域数学与知识生成体系,1,32.38 KB,已写入（copy）,待归属（线索：全域数学 / 分形知识工程，与 S13 全域双向分形统一场论同名分支）
0·1·∞宇宙本源——从真空到万物的第一性原理演绎,目录,zip/解压内容,07_常数本源与真空涡旋,89,446.82 KB,已写入（copy）,待归属（线索：常数本源与真空涡旋路线，与 S02/S12 常数议题相邻）
多余G问题全维度验证与总结报告.md,文件,md,07_常数本源与真空涡旋,1,13.40 KB,已写入（copy）,待归属（线索：常数本源与真空涡旋路线，与 S02/S12 常数议题相邻）
真空统一常数 K=3.147e-26 的物理内涵、实证精度与理论突破研究——基于几何拓扑残差、引力介电耦合与Koide精度对标.md,文件,md,07_常数本源与真空涡旋,1,24.46 KB,已写入（copy）,待归属（线索：常数本源与真空涡旋路线，与 S02/S12 常数议题相邻）
算法联盟最高权限·全域01∞三元本源 顶级AI全栈技术方案（完整终极版）.md,文件,md,07_常数本源与真空涡旋,1,10.12 KB,已写入（copy）,待归属（线索：常数本源与真空涡旋路线，与 S02/S12 常数议题相邻）
统一常量k体系·全维统一场论（完整书籍+验证代码+ZIP包）,目录,zip/解压内容,07_常数本源与真空涡旋,19,450.03 KB,已写入（copy）,待归属（线索：常数本源与真空涡旋路线，与 S02/S12 常数议题相邻）
Win7 Playwright 完整快速部署包（一键脚本+全官方下载地址）.md,文件,md,08_宇宙文明与工程平台包,1,6.03 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
ent-platform-enterprise-v1.0.0.zip（企业级一体化部署完整工程·56个文件）,目录,zip/解压内容,08_宇宙文明与工程平台包,56,130.63 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
magnetic_field_algorithm_paper,目录,zip/解压内容,08_宇宙文明与工程平台包,11,1.36 MB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
佛山政数局政务中台对接分析.md,文件,md,08_宇宙文明与工程平台包,1,8.67 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
全选.html,文件,html,08_宇宙文明与工程平台包,1,1.79 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
宇宙文明技术落地_完整交付包,目录,zip/解压内容,08_宇宙文明与工程平台包,40,2.67 MB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
宇宙文明技术落地_完整版.md（20卷100章正文）.md,文件,md,08_宇宙文明与工程平台包,1,377.47 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
宇宙文明本源说明书v2.0全量版,目录,zip/解压内容,08_宇宙文明与工程平台包,2,75.23 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
宇宙文明本源说明书完整系统压缩包,目录,zip/解压内容,08_宇宙文明与工程平台包,2,54.30 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
流程包合集_20260901112939,目录,zip/解压内容,08_宇宙文明与工程平台包,12,552.88 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
算子统一系统完整工程包 (operator-unified-system.zip),目录,zip/解压内容,08_宇宙文明与工程平台包,26,145.16 KB,已写入（copy）,待归属（线索：工程/平台交付包，部分与统一场论无关（如 RPA 流程包、政务中台对接））
38435587275432194.html,文件,html,09_可视化与网页产出,1,354.70 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
3d-animation.html,文件,html,09_可视化与网页产出,1,18.37 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
3d-magnetic-loop.html,文件,html,09_可视化与网页产出,1,18.38 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
RZZ8dPhTao6Pktxgg9dcknHwnvf.html,文件,html,09_可视化与网页产出,1,2.22 MB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
academic-report.html,文件,html,09_可视化与网页产出,1,21.56 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
deepseek_html_20260911_fc8303.html,文件,html,09_可视化与网页产出,1,13.95 KB,已写入（copy）,待归属（线索：网页 / 可视化 / 报告页，线索：多为某一路线的前端展示或验证页）
