分箱,原文件,迁入路径,字节,主题,体系线索（待人工核验）,动作
03_全常数几何化,G=α²μ₀几何本源：引力常数与磁导率的无量纲化统一.md,03_全常数几何化/G=α²μ₀几何本源：引力常数与磁导率的无量纲化统一.md,18217,G、ε₀、e、ℏ、c、m 的几何化字典（含 G=α²μ₀c²ρ²）,体系五 全常数几何化字典（含 G 循环论证）,copied
03_全常数几何化,算法联盟最高权限：全常数几何化——统一场论终极突破.md,03_全常数几何化/算法联盟最高权限：全常数几何化——统一场论终极突破.md,12870,G、ε₀、e、ℏ、c、m 的几何化字典（含 G=α²μ₀c²ρ²）,体系五 全常数几何化字典（含 G 循环论证）,copied
03_全常数几何化,算法联盟最高权限：全维度突破——所有物理常数几何化无量纲化终极统一.md,03_全常数几何化/算法联盟最高权限：全维度突破——所有物理常数几何化无量纲化终极统一.md,14037,G、ε₀、e、ℏ、c、m 的几何化字典（含 G=α²μ₀c²ρ²）,体系五 全常数几何化字典（含 G 循环论证）,copied
03_全常数几何化,算法联盟最高权限：利用α的精确值完成G和ε₀的几何化.md,03_全常数几何化/算法联盟最高权限：利用α的精确值完成G和ε₀的几何化.md,9828,G、ε₀、e、ℏ、c、m 的几何化字典（含 G=α²μ₀c²ρ²）,体系五 全常数几何化字典（含 G 循环论证）,copied
04_频率控制与最优频率,频率控制全维总结：效果现象与核心公式——算法联盟最高权限.md,04_频率控制与最优频率/频率控制全维总结：效果现象与核心公式——算法联盟最高权限.md,8191,ω 的几何本源、频率控制引力效应、最优频率选择,体系六 频率控制与第五力,copied
04_频率控制与最优频率,频率控制与最大引力效应：算法联盟最高权限突破.md,04_频率控制与最优频率/频率控制与最大引力效应：算法联盟最高权限突破.md,12628,ω 的几何本源、频率控制引力效应、最优频率选择,体系六 频率控制与第五力,copied
04_频率控制与最优频率,最优频率选择：全维度突破的频率优化理论——算法联盟最高权限最伟大论文.md,04_频率控制与最优频率/最优频率选择：全维度突破的频率优化理论——算法联盟最高权限最伟大论文.md,16138,ω 的几何本源、频率控制引力效应、最优频率选择,体系六 频率控制与第五力,copied
05_无穷维与高阶力系,算法联盟最高权限：宇宙秘密全维突破——高阶力系与空间螺旋几何本源.md,05_无穷维与高阶力系/算法联盟最高权限：宇宙秘密全维突破——高阶力系与空间螺旋几何本源.md,11876,αⁿ 无穷级数力谱、N=1/[α²(1−α)] 的高阶归一化与暗能量/暗物质命名,体系七 无穷维 / 高阶力系 + 体系十 18917 归一化因子,copied
05_无穷维与高阶力系,全维度精算验证：无穷维力系统一场论Python最高权限分析.md,05_无穷维与高阶力系/全维度精算验证：无穷维力系统一场论Python最高权限分析.md,10140,αⁿ 无穷级数力谱、N=1/[α²(1−α)] 的高阶归一化与暗能量/暗物质命名,体系七 无穷维 / 高阶力系 + 体系十 18917 归一化因子,copied
06_阴阳与道法术器用,算法联盟突破阴阳：道法术器用统一场论.md,06_阴阳与道法术器用/算法联盟突破阴阳：道法术器用统一场论.md,221559,阴阳=曲率+挠率、N 的两套定义、18917 的素数/历史/神秘学解读,体系四 阴阳平衡 + 体系八 道法术器用元框架 + 体系十 18917 因子,copied
06_阴阳与道法术器用,N归一化因子.md,06_阴阳与道法术器用/N归一化因子.md,2394,阴阳=曲率+挠率、N 的两套定义、18917 的素数/历史/神秘学解读,体系四 阴阳平衡 + 体系八 道法术器用元框架 + 体系十 18917 因子,copied
06_阴阳与道法术器用,18917宇宙归一化因子：素数神秘学与历史锚点解析.md,06_阴阳与道法术器用/18917宇宙归一化因子：素数神秘学与历史锚点解析.md,8887,阴阳=曲率+挠率、N 的两套定义、18917 的素数/历史/神秘学解读,体系四 阴阳平衡 + 体系八 道法术器用元框架 + 体系十 18917 因子,copied
07_求导证明与精算验证,算法联盟最高权限：空间螺旋几何化统一场论——全维度全方面求导证明验证分析.md,07_求导证明与精算验证/算法联盟最高权限：空间螺旋几何化统一场论——全维度全方面求导证明验证分析.md,12823,自称 10000 位精度求导证明与全维精算验证（自陈，未独立复核）,验证层（体系一–五的自陈精算，openuft 未复核）,copied
07_求导证明与精算验证,算法联盟最高权限：空间螺旋几何化统一场论——终极求导证明验证精算分析全维度.md,07_求导证明与精算验证/算法联盟最高权限：空间螺旋几何化统一场论——终极求导证明验证精算分析全维度.md,18717,自称 10000 位精度求导证明与全维精算验证（自陈，未独立复核）,验证层（体系一–五的自陈精算，openuft 未复核）,copied
08_下一个维度突破,算法联盟最高权限：突破下一个维度——总结与展望.md,08_下一个维度突破/算法联盟最高权限：突破下一个维度——总结与展望.md,10067,「用」层技术愿景：维度穿越、时间操控、意识上传的实验验证与技术方案,体系八 元框架的「用」层（无实验支撑）,copied
08_下一个维度突破,算法联盟最高权限：下一个维度突破——实验验证与技术实现.md,08_下一个维度突破/算法联盟最高权限：下一个维度突破——实验验证与技术实现.md,19498,「用」层技术愿景：维度穿越、时间操控、意识上传的实验验证与技术方案,体系八 元框架的「用」层（无实验支撑）,copied
08_下一个维度突破,算法联盟最高权限：下一个维度突破——详细技术方案.md,08_下一个维度突破/算法联盟最高权限：下一个维度突破——详细技术方案.md,13578,「用」层技术愿景：维度穿越、时间操控、意识上传的实验验证与技术方案,体系八 元框架的「用」层（无实验支撑）,copied
09_多语种论文,Gravitational_Electromagnetic_Unification_Space_Spiral.md,09_多语种论文/Gravitational_Electromagnetic_Unification_Space_Spiral.md,20229,同一框架的英文平行版本（G–ε₀ 统一、量子力学几何本源、力系本源、全框架）,体系一–五 的英文平行版本,copied
09_多语种论文,Quantum_Mechanics_Space_Spiral_Geometric_Origin.md,09_多语种论文/Quantum_Mechanics_Space_Spiral_Geometric_Origin.md,15996,同一框架的英文平行版本（G–ε₀ 统一、量子力学几何本源、力系本源、全框架）,体系一–五 的英文平行版本,copied
09_多语种论文,Space_Spiral_Geometric_Origin_of_Fundamental_Forces.md,09_多语种论文/Space_Spiral_Geometric_Origin_of_Fundamental_Forces.md,19536,同一框架的英文平行版本（G–ε₀ 统一、量子力学几何本源、力系本源、全框架）,体系一–五 的英文平行版本,copied
09_多语种论文,Space_Spiral_Geometric_Unified_Field_Theory.md,09_多语种论文/Space_Spiral_Geometric_Unified_Field_Theory.md,17804,同一框架的英文平行版本（G–ε₀ 统一、量子力学几何本源、力系本源、全框架）,体系一–五 的英文平行版本,copied
code,code/1.py,code/1.py,6738,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/all_dimension_breakthrough.py,code/all_dimension_breakthrough.py,14205,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/all_dimension_breakthrough_results.txt,code/all_dimension_breakthrough_results.txt,1418,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/complete_verification.py,code/complete_verification.py,14250,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/core_verification.py,code/core_verification.py,3543,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/force_origin_visualization.png,code/force_origin_visualization.png,493718,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/force_origin_visualization.py,code/force_origin_visualization.py,5087,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/force_origin_visualization_en.png,code/force_origin_visualization_en.png,550728,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/force_origin_visualization_en.py,code/force_origin_visualization_en.py,5150,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/full_verification.py,code/full_verification.py,12421,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/g_alpha2_mu0_infinite_breakthrough.py,code/g_alpha2_mu0_infinite_breakthrough.py,10794,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/g_alpha2_mu0_infinite_breakthrough_results.txt,code/g_alpha2_mu0_infinite_breakthrough_results.txt,3421,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/infinite_dimension_verification.py,code/infinite_dimension_verification.py,8896,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/infinite_dimension_verification_results.txt,code/infinite_dimension_verification_results.txt,6353,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/paper_verification.py,code/paper_verification.py,11121,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/space_spiral_visualization.html,code/space_spiral_visualization.html,26623,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/unified_field_theory_ultimate_verification.py,code/unified_field_theory_ultimate_verification.py,17672,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
code,code/visualization.html,code/visualization.html,21541,验证脚本与结果（Python 精算、结果 txt、可视化 HTML/PNG）,验证层（脚本自陈输出，未纳入 openuft 独立复算）,copied
