来源名,类型,分箱,文件数,字节,状态,归属状态 / 不搬理由
TUFT_强场仿真报告.md,文件,02_TUFT_来源,,3.83 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_归一化台账_v1.0.json,文件,02_TUFT_来源,1,68.15 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_挠率探测_report.txt,文件,02_TUFT_来源,,7.44 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_挠率探测_全维分析精算.py,文件,02_TUFT_来源,,10.22 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_挠率探测_精算报告.md,文件,02_TUFT_来源,,4.50 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_汤川势电磁挠率_可检验预言清单.md,文件,02_TUFT_来源,,11.03 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_汤川势电磁挠率_算法联盟全维校验.json,文件,02_TUFT_来源,,8.11 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_汤川势电磁挠率_算法联盟全维校验.py,文件,02_TUFT_来源,,11.24 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_汤川势电磁挠率_算法联盟全维校验.txt,文件,02_TUFT_来源,,4.03 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_汤川势电磁挠率_预言评估矩阵.html,文件,02_TUFT_来源,,3.37 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_独立复核_report.txt,文件,02_TUFT_来源,,3.96 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_独立复核报告.md,文件,02_TUFT_来源,,5.46 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E147全维架构图.html,文件,02_TUFT_来源,,19.84 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E199全维架构图.html,文件,02_TUFT_来源,,22.28 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E24架构图.html,文件,02_TUFT_来源,,15.95 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E251全维架构图.html,文件,02_TUFT_来源,,17.43 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E47全维架构图.html,文件,02_TUFT_来源,,22.30 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_E1-E82全维架构图.html,文件,02_TUFT_来源,,29.72 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告.md,文件,02_TUFT_来源,,14.77 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v10.md,文件,02_TUFT_来源,,6.32 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v10v11终裁.md,文件,02_TUFT_来源,,8.27 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v11.md,文件,02_TUFT_来源,,6.32 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v12.md,文件,02_TUFT_来源,,6.43 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v2.md,文件,02_TUFT_来源,,11.06 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v3.md,文件,02_TUFT_来源,,14.21 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v4v5.md,文件,02_TUFT_来源,,13.06 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v6.md,文件,02_TUFT_来源,,9.96 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v7.md,文件,02_TUFT_来源,,11.00 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v8.md,文件,02_TUFT_来源,,8.64 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT_突破性新方程集_全维精算报告_v9.md,文件,02_TUFT_来源,,8.43 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
TUFT全维统一场作用量_NS涡动力学与洛伦兹耦合.tex,文件,02_TUFT_来源,,16.42 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft,目录,02_TUFT_来源,,2.46 MB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_predictions_detectability.png,文件,02_TUFT_来源,,80.59 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v10_line1_scalar.py,文件,02_TUFT_来源,,8.31 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v10_line1_scalar_out.txt,文件,02_TUFT_来源,,4.09 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v11_line1_twopt_shoot.py,文件,02_TUFT_来源,,12.25 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v12_line1_rw.py,文件,02_TUFT_来源,,6.04 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v12_line1_rw_out.txt,文件,02_TUFT_来源,,2.87 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v13_tuft_wall.py,文件,02_TUFT_来源,,18.85 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v13_tuft_wall_out.txt,文件,02_TUFT_来源,,10.52 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v14_tuft_wall.py,文件,02_TUFT_来源,,15.46 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v14_tuft_wall_out.txt,文件,02_TUFT_来源,,7.97 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v16_gr_reflection.py,文件,02_TUFT_来源,,11.79 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v16_gr_reflection_out.txt,文件,02_TUFT_来源,,4.66 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v17_odd_potential.py,文件,02_TUFT_来源,,14.08 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v17_odd_potential_out.txt,文件,02_TUFT_来源,,10.57 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v18_real_freq.py,文件,02_TUFT_来源,,13.53 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v18_real_freq_out.txt,文件,02_TUFT_来源,,5.58 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v18_real_snr.py,文件,02_TUFT_来源,,12.82 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v18_real_snr_out.txt,文件,02_TUFT_来源,,5.57 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v19_waveform_distortion.py,文件,02_TUFT_来源,,10.16 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v19_waveform_distortion_out.txt,文件,02_TUFT_来源,,4.57 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v20_modified_qnm.py,文件,02_TUFT_来源,,9.69 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v20_modified_qnm_out.txt,文件,02_TUFT_来源,,7.99 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v21_cook_zalutskas.py,文件,02_TUFT_来源,,9.76 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v21_cook_zalutskas_out.txt,文件,02_TUFT_来源,,5.19 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v21_leaver_mixed.py,文件,02_TUFT_来源,,10.29 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v21_leaver_mixed_out.txt,文件,02_TUFT_来源,,0.00 B,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_cosmo.py,文件,02_TUFT_来源,,9.16 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_mass_scan.py,文件,02_TUFT_来源,,8.97 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_mass_scan_report.txt,文件,02_TUFT_来源,,1.86 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_opms_breakthrough.py,文件,02_TUFT_来源,,13.38 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_opms_report.txt,文件,02_TUFT_来源,,5.16 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_shadow.py,文件,02_TUFT_来源,,7.81 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_verify.py,文件,02_TUFT_来源,,20.32 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v2_verify_report.txt,文件,02_TUFT_来源,,1.72 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v3_line1_c_derivation.py,文件,02_TUFT_来源,,6.28 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v3_line2_isco.py,文件,02_TUFT_来源,,12.87 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v3_line2_out.txt,文件,02_TUFT_来源,,2.89 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v4_line2_geodesic.py,文件,02_TUFT_来源,,15.07 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v4_line2_out.txt,文件,02_TUFT_来源,,6.79 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line1_qnm.py,文件,02_TUFT_来源,,6.89 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line1_qnm_out.txt,文件,02_TUFT_来源,,2.94 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line2_out.txt,文件,02_TUFT_来源,,4.61 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line2_quintessence.py,文件,02_TUFT_来源,,12.52 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line3_knot.py,文件,02_TUFT_来源,,8.97 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line4_calc.py,文件,02_TUFT_来源,,5.46 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v6_line5_seesaw.py,文件,02_TUFT_来源,,7.62 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v7_line1_leaver_qnm.py,文件,02_TUFT_来源,,9.84 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v7_line1_qnm_out.txt,文件,02_TUFT_来源,,2.17 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v7_line2_c_deriv.py,文件,02_TUFT_来源,,14.58 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v7_line3_inflation.py,文件,02_TUFT_来源,,17.34 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v8_line1_qnm_out.txt,文件,02_TUFT_来源,,4.74 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v8_line1_spectral_qnm.py,文件,02_TUFT_来源,,12.02 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v8_line2_out.txt,文件,02_TUFT_来源,,5.01 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v8_line2_starobinsky.py,文件,02_TUFT_来源,,9.64 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v9_line1_leaver.py,文件,02_TUFT_来源,,5.14 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
tuft_v9_line1_leaver_out.txt,文件,02_TUFT_来源,,2.07 KB,已迁入,待归属（线索：与 S14 挠率统一场论 TUFT 同名）
全域统一场论_TUFT全维求导验证.py,文件,02_TUFT_来源,,16.22 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT全维求导验证与异常修复报告.md,文件,02_TUFT_来源,,16.66 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT实验预言仿真.py,文件,02_TUFT_来源,,5.38 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT实验预言白皮书_优化版.md,文件,02_TUFT_来源,,34.54 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT拓扑统一场论_汤川势与电磁挠率章_修复版.md,文件,02_TUFT_来源,,13.92 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT拓扑统一场论_续篇_修复版.md,文件,02_TUFT_来源,,27.08 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT汤川势电磁挠率章_全维审校与异常报告.md,文件,02_TUFT_来源,,6.34 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT续篇_全维审校与异常报告.md,文件,02_TUFT_来源,,16.25 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_TUFT续篇_全维验证.py,文件,02_TUFT_来源,,25.95 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_全维求导证明验证精算报告.md,文件,02_TUFT_来源,,31.90 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_全维精算_mp.py,文件,02_TUFT_来源,,28.68 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_全维精算报告_mp.md,文件,02_TUFT_来源,,8.09 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
全域统一场论_理论总纲与体系总结.md,文件,02_TUFT_来源,,11.55 KB,已迁入,待归属（线索：TUFT 全维求导与验证）
GAQ-UFT_Complete_Book,目录,03_GAQ_书稿来源,,481.34 KB,已迁入,待归属（线索：与 S03/S07/S08/S09 GAQ 系列同名）
formula_visualizations,目录,04_三重奏与螺旋_来源,,533.00 B,已迁入,待归属（线索：待归属）
helical_db,目录,04_三重奏与螺旋_来源,,69.93 KB,已迁入,待归属（线索：螺旋几何，与 S01/S10 相邻）
step_by_step_verification,目录,04_三重奏与螺旋_来源,,17.12 KB,已迁入,待归属（线索：螺旋动力学，与 S01/S02 相邻）
triad_uft,目录,04_三重奏与螺旋_来源,,1.56 MB,已迁入,待归属（线索：与 S01 三重奏域相邻）
utf_visualization,目录,04_三重奏与螺旋_来源,,398.49 KB,已迁入,待归属（线索：待归属）
visualization_output,目录,04_三重奏与螺旋_来源,,8.94 MB,已迁入,待归属（线索：待归属）
可视化,目录,04_三重奏与螺旋_来源,,30.85 KB,已迁入,待归属（线索：待归属）
tan_arctan_unified_field,目录,05_独立路线网页_来源,,3.46 MB,已迁入,待归属（线索：待归属）
unified-field-theory,目录,05_独立路线网页_来源,,5.20 MB,已迁入,待归属（线索：待归属）
unified-field-theory-full,目录,05_独立路线网页_来源,,896.07 KB,已迁入,待归属（线索：待归属）
uft,目录,06_UM论文与书稿_来源,,2.56 MB,已迁入,待归属（线索：UM 全域数学，候登记）
全域统一场论_书稿,目录,06_UM论文与书稿_来源,,205.48 KB,已迁入,待归属（线索：TUFT 全维求导链）
bifuf_core_algo_validation.json,文件,07_bifuf_来源,,389.00 B,已迁入,待归属（线索：候裁定体系（三份 JSON 结论互相矛盾））
bifuf_full_validation_report.json,文件,07_bifuf_来源,,2.61 KB,已迁入,待归属（线索：候裁定体系（三份 JSON 结论互相矛盾））
bifuf_validation_final.json,文件,07_bifuf_来源,,349.00 B,已迁入,待归属（线索：候裁定体系（三份 JSON 结论互相矛盾））
V21_Ω终极_元一方程_全维封王_全书.txt,文件,08_调试与临时产物,,7.37 KB,已迁入,待归属（线索：单篇产出）
_att_OpbYyAyIlR.txt,文件,08_调试与临时产物,,22.28 KB,已迁入,待归属（线索：中间产物，非结论载体）
_att_sjnJbGwa67.txt,文件,08_调试与临时产物,,18.18 KB,已迁入,待归属（线索：中间产物，非结论载体）
_audit_v15_real_phase_indep.py,文件,08_调试与临时产物,,22.22 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_audit_v15_real_phase_indep_out.txt,文件,08_调试与临时产物,,7.57 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_audit_v15_real_phase_indep_out_v2.txt,文件,08_调试与临时产物,,7.57 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_coef.txt,文件,08_调试与临时产物,,208.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_dbg2.py,文件,08_调试与临时产物,,1.30 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_dbg_toy.py,文件,08_调试与临时产物,,1.37 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_dbg_toy_out.txt,文件,08_调试与临时产物,,1.91 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_dbg_v17_tail.py,文件,08_调试与临时产物,,1.42 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_dbgshoot.py,文件,08_调试与临时产物,,1.04 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_derive.py,文件,08_调试与临时产物,,1.60 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag.py,文件,08_调试与临时产物,,1.26 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_RW.py,文件,08_调试与临时产物,,1.17 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_RW2.py,文件,08_调试与临时产物,,1.34 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_Vtest.py,文件,08_调试与临时产物,,1.11 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_fwd.py,文件,08_调试与临时产物,,987.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_fwd2.py,文件,08_调试与临时产物,,739.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_integrate.py,文件,08_调试与临时产物,,1.54 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_inward.py,文件,08_调试与临时产物,,1.45 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver.py,文件,08_调试与临时产物,,601.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver2.py,文件,08_调试与临时产物,,648.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver3.py,文件,08_调试与临时产物,,1.30 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver4.py,文件,08_调试与临时产物,,965.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver5.py,文件,08_调试与临时产物,,1.60 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_leaver6.py,文件,08_调试与临时产物,,1.22 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_phase_convention.py,文件,08_调试与临时产物,,2.17 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_riccati.py,文件,08_调试与临时产物,,1.29 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_roots.py,文件,08_调试与临时产物,,730.00 B,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_scan.py,文件,08_调试与临时产物,,1.17 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_diag_shoot.py,文件,08_调试与临时产物,,1.05 KB,已迁入,待归属（线索：调试/审计脚本，非结论载体）
_ma_qnm_out.txt,文件,08_调试与临时产物,,1.05 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_qnm_ref.py,文件,08_调试与临时产物,,1.08 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v10_indep_scalar.py,文件,08_调试与临时产物,,1.77 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_diag.py,文件,08_调试与临时产物,,873.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_fastshoot.py,文件,08_调试与临时产物,,3.72 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_fastshoot_out.txt,文件,08_调试与临时产物,,656.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_indep_shoot.py,文件,08_调试与临时产物,,4.96 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_indep_shoot_out.txt,文件,08_调试与临时产物,,0.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_td2_out.txt,文件,08_调试与临时产物,,1.09 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_timedomain.py,文件,08_调试与临时产物,,3.54 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_timedomain2.py,文件,08_调试与临时产物,,1.25 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_timedomain_out.txt,文件,08_调试与临时产物,,939.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_twopt_frozen.py,文件,08_调试与临时产物,,4.96 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v11_twopt_frozen_out.txt,文件,08_调试与临时产物,,248.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v12_indep_rw.py,文件,08_调试与临时产物,,1.66 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v12_indep_rw_out.txt,文件,08_调试与临时产物,,592.00 B,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v12_rerun.txt,文件,08_调试与临时产物,,2.87 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v13_indep_audit.py,文件,08_调试与临时产物,,6.72 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v13_indep_audit_out.txt,文件,08_调试与临时产物,,4.92 KB,已迁入,待归属（线索：中间产物，非结论载体）
_ma_v14_indep_audit.py,文件,08_调试与临时产物,,4.83 KB,已迁入,待归属（线索：中间产物，非结论载体）
