id,citation,status,url,local_path
REF010,"Gross David J., Wilczek Frank. Ultraviolet Behavior of Non-Abelian Gauge Theories[J]. Physical Review Letters, 1973, 30(26): 1343-1346. DOI: 10.1103/physrevlett.30.1343.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.30.1343,
REF011,"Politzer H. David. Reliable Perturbative Results for Strong Interactions?[J]. Physical Review Letters, 1973, 30(26): 1346-1349. DOI: 10.1103/physrevlett.30.1346.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.30.1346,
REF012,"Weinberg Steven. A Model of Leptons[J]. Physical Review Letters, 1967, 19(21): 1264-1266. DOI: 10.1103/physrevlett.19.1264.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.19.1264,
REF013,"A. Salam. Weak and Electromagnetic Interactions[M]. in Elementary Particle Theory (ed. N. Svartholm), Almqvist & Wiksell, 1968.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF014,"Georgi Howard, Glashow S. L. Unity of All Elementary-Particle Forces[J]. Physical Review Letters, 1974, 32(8): 438-441. DOI: 10.1103/physrevlett.32.438.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.32.438,
REF015,"Fritzsch Harald, Minkowski Peter. Unified interactions of leptons and hadrons[J]. Annals of Physics, 1975, 93(1-2): 193-266. DOI: 10.1016/0003-4916(75)90211-0.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1016/0003-4916(75)90211-0,
REF016,"M. B. Green, J. H. Schwarz. Anomaly Cancellation in Supersymmetric D=10 Gauge Theory[J]. Phys. Lett., 1984, B149: 117.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF017,"Witten Edward. String theory dynamics in various dimensions[J]. Nuclear Physics B, 1995, 443(1-2): 85-126. DOI: 10.1016/0550-3213(95)00158-o.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1016/0550-3213(95)00158-o,
REF018,"Ashtekar Abhay. New Variables for Classical and Quantum Gravity[J]. Physical Review Letters, 1986, 57(18): 2244-2247. DOI: 10.1103/physrevlett.57.2244.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.57.2244,
REF019,"C. Rovelli. Quantum Gravity[M]. Cambridge University Press, 2004.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF020,"Sorkin Rafael D. Causal Sets: Discrete Gravity[J]. Series of the Centro De Estudios Científicos, 年份待核: 305-327. DOI: 10.1007/0-387-24992-3_7.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1007/0-387-24992-3_7,
REF021,"Guth Alan H. Inflationary universe: A possible solution to the horizon and flatness problems[J]. Physical Review D, 1981, 23(2): 347-356. DOI: 10.1103/physrevd.23.347.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevd.23.347,
REF022,"A. G. Riess et al. Observational Evidence from Supernovae for an Accelerating Universe and a Cosmological Constant[J]. AJ, 1998, 116: 1009.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF023,"Planck Collaboration. Planck 2018 Results. VI. Cosmological Parameters[J]. A&A, 2020, 641: A6.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF024,"Abbott B. P., Abbott R., Abbott T. D., et al. Observation of Gravitational Waves from a Binary Black Hole Merger[J]. Physical Review Letters, 2016, 116(6): 061102. DOI: 10.1103/physrevlett.116.061102.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.116.061102,
REF025,"Abbott B. P., Abbott R., Abbott T. D., et al. GW170817: Observation of Gravitational Waves from a Binary Neutron Star Inspiral[J]. Physical Review Letters, 2017, 119(16): 161101. DOI: 10.1103/physrevlett.119.161101.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevlett.119.161101,
REF026,"Hawking S. W. Particle creation by black holes[J]. Communications In Mathematical Physics, 1975, 43(3): 199-220. DOI: 10.1007/bf02345020.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1007/bf02345020,
REF027,"Bekenstein Jacob D. Black Holes and Entropy[J]. Physical Review D, 1973, 7(8): 2333-2346. DOI: 10.1103/physrevd.7.2333.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1103/physrevd.7.2333,
REF028,"Bardeen J. M., Carter B., Hawking S. W. The four laws of black hole mechanics[J]. Communications in Mathematical Physics, 1973, 31(2): 161-170. DOI: 10.1007/bf01645742.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.1007/bf01645742,
REF029,"S. W. Hawking, G. F. R. Ellis. The Large Scale Structure of Space-Time[M]. Cambridge University Press, 1973.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF030,"R. M. Wald. General Relativity[M]. University of Chicago Press, 1984.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF031,"D. Hestenes. Space-Time Algebra[M]. Gordon and Breach, 1966.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF032,"P. Lounesto. Clifford Algebras and Spinors[M]. Cambridge University Press, 2001.",按原有条目规范化；未独立核实版次、完整页码或出版元数据,,
REF033,mpmath developers. mpmath: Python library for arbitrary-precision floating-point arithmetic[CP/OL]. https://mpmath.org/ (accessed 2026-09-09).,官网核对；软件版本应由运行环境另行登记，不沿用任意 2024 年份,https://mpmath.org/,
REF034,"Meurer Aaron, Smith Christopher P., Paprocki Mateusz, et al. SymPy: symbolic computing in Python[J]. PeerJ Computer Science, 2017, 3: e103. DOI: 10.7717/peerj-cs.103.",已核对 DOI 注册元数据；不表示审查正文,https://doi.org/10.7717/peerj-cs.103,
READ01,Griffiths D. Introduction to Elementary Particles[M]. 2008.,保留原进一步阅读条目；版次与出版社待核实,,
READ02,"Peskin M E, Schroeder D V. An Introduction to Quantum Field Theory[M]. 1995.",保留原进一步阅读条目；版次与出版社待核实,,
READ03,"Press W H, et al. Numerical Recipes[M]. 2007.",保留原进一步阅读条目；版次与出版社待核实,,
GLOBAL01,CERN. Unified forces[EB/OL]. 未标注. https://home.web.cern.ch/science/physics/unified-forces/ (accessed 2026-09-09).,沿用全球文献登记 文献01 的入口核实范围；arXiv 条目按在线版本引用,https://home.web.cern.ch/science/physics/unified-forces/,
GLOBAL02,John H. Schwarz. Introduction to Superstring Theory[EB/OL]. 2000. https://arxiv.org/abs/hep-ex/0008017 (accessed 2026-09-09).,沿用全球文献登记 文献02 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/hep-ex/0008017,
GLOBAL03,Abhay Ashtekar; Jerzy Lewandowski. Background Independent Quantum Gravity: A Status Report[EB/OL]. 2004. https://arxiv.org/abs/gr-qc/0404018 (accessed 2026-09-09).,沿用全球文献登记 文献03 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/gr-qc/0404018,
GLOBAL04,Alfio Bonanno; Astrid Eichhorn; Holger Gies; Jan M. Pawlowski; Roberto Percacci; Martin Reuter; Frank Saueressig; Gian Paolo Vacca. Critical reflections on asymptotically safe gravity[EB/OL]. 2020. https://arxiv.org/abs/2004.06810 (accessed 2026-09-09).,沿用全球文献登记 文献04 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/2004.06810,
GLOBAL05,Sumati Surya. The causal set approach to quantum gravity[EB/OL]. 2019. https://arxiv.org/abs/1903.11544 (accessed 2026-09-09).,沿用全球文献登记 文献05 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/1903.11544,
GLOBAL06,R. Loll. Quantum Gravity from Causal Dynamical Triangulations: A Review[EB/OL]. 2019. https://arxiv.org/abs/1905.08669 (accessed 2026-09-09).,沿用全球文献登记 文献06 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/1905.08669,
GLOBAL07,Ali H. Chamseddine; Alain Connes; Matilde Marcolli. Gravity and the standard model with neutrino mixing[EB/OL]. 2006. https://arxiv.org/abs/hep-th/0610241 (accessed 2026-09-09).,沿用全球文献登记 文献07 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/hep-th/0610241,
GLOBAL08,Juan M. Maldacena. The Large N Limit of Superconformal Field Theories and Supergravity[EB/OL]. 1997. https://arxiv.org/abs/hep-th/9711200 (accessed 2026-09-09).,沿用全球文献登记 文献08 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/hep-th/9711200,
GLOBAL09,Erik P. Verlinde. On the Origin of Gravity and the Laws of Newton[EB/OL]. 2010. https://arxiv.org/abs/1001.0785 (accessed 2026-09-09).,沿用全球文献登记 文献09 的入口核实范围；arXiv 条目按在线版本引用,https://arxiv.org/abs/1001.0785,
LOCAL01,AI科技星. 全维度修订v2[R]. 项目内部研究稿，2026；版本以文件为准。,项目内部资料；未登记外部出版或同行评审,,04_公共成果/历史综合报告/全维修订版v2/全维度修订v2.md
LOCAL02,AI科技星. 完整严格证明[R]. 项目内部研究稿，2026；版本以文件为准。,项目内部资料；未登记外部出版或同行评审,,01_独立体系/S01_螺旋三重奏与谱几何/05_一致性检查/P3_归纳闭合_R9/完整严格证明.md
LOCAL03,AI科技星. 绝热与纯圆周精确[R]. 项目内部研究稿，2026；版本以文件为准。,项目内部资料；未登记外部出版或同行评审,,01_独立体系/S01_螺旋三重奏与谱几何/05_一致性检查/P4_绝热三重奏_R10/绝热与纯圆周精确.md
LOCAL04,AI科技星. README[R]. 项目内部研究稿，2026；版本以文件为准。,项目内部资料；未登记外部出版或同行评审,,01_独立体系/S01_螺旋三重奏与谱几何/05_一致性检查/P5_梯度磁场精确性_R11/README.md
LOCAL05,AI科技星. v6_20260906_FINAL[R]. 项目内部研究稿，2026；版本以文件为准。,项目内部资料；未登记外部出版或同行评审,,01_独立体系/S12_空间光速螺旋统一体系/13_论文与成果/论文正文/终极报告系列/v6_20260906_FINAL.md
